competition,host,host_region,major
The Hundred (Women\'s Comp),England,UK,1
WT20I,Australia,AUS,1
WT20I,Bangladesh,Asia,1
WT20I,England,UK,1
WT20I,India,Asia,1
WT20I,New Zealand,NZ,1
WT20I,Pakistan,Asia,1
WT20I,South Africa,Africa,1
WT20I,Sri Lanka,Asia,1
WT20I,United Arab Emirates,Asia,1
WT20I,West Indies,N America,1
Women\'s Big Bash League,Australia,AUS,1
Women\'s Premier League,India,Asia,1
Women\'s Premier League,United Arab Emirates,Asia,1
Women\'s Vitality Blast,England,UK,1
