bowlertype,host_x,host_y,f_run_factor,f_wkt_factor,run_factor_a2h_rev,wkt_factor_a2h_rev
seam,Australia,Australia,1.0,1.0,0.9907867965100212,1.008371270600028
seam,Australia,Bangladesh,1.0457661221910717,0.9730772220009959,1.0338871394302898,0.9908474660281359
seam,Australia,China,1.0001395485891267,0.9809430216638738,1.0081215084880886,1.0087586510068054
seam,Australia,England,0.9991124562428922,0.9692662969309093,0.9913615199178883,1.0011522354401527
seam,Australia,Ghana,0.9972131339067558,0.9707478061266784,0.998413876206192,0.9896357760280258
seam,Australia,India,1.0077256923219065,1.0237206128825707,0.9986957108525775,1.0192556236990342
seam,Australia,Ireland,1.00475710361741,0.8969178589963066,1.0144903735879418,0.8425329334523849
seam,Australia,Namibia,0.9906961055404214,0.9949813761976927,0.9768929266095063,1.046025182443246
seam,Australia,Nepal,1.0430831836949215,0.9674038265497416,1.0670292179157101,0.9179129799459311
seam,Australia,Netherlands,1.0175641065593926,0.9884834850668867,1.0360195622565551,1.0470870968825925
seam,Australia,New Zealand,0.996371679387182,0.9873448002458703,0.9978366506731261,0.965452245898266
seam,Australia,Oman,1.0005455910853103,1.005620230347159,0.9578680355203469,1.0261251899905373
seam,Australia,Pakistan,1.0075938678521053,0.9874532918886846,0.9896872015770026,0.9844212702619829
seam,Australia,Scotland,1.0141641899023108,0.9582623860360192,1.0380583166694959,0.9466457379679639
seam,Australia,Singapore,1.0139948312246312,0.9903642786734004,0.9947040762043423,0.9665498029062023
seam,Australia,South Africa,1.0032578270048644,0.9951025055350925,1.0002770710253932,1.007950069506295
seam,Australia,Sri Lanka,1.0272319604208915,1.0234748291778493,1.008235085970397,1.0378077430822068
seam,Australia,United Arab Emirates,1.0099594997100156,1.0239285242534022,0.9981974870029668,1.0298988755693232
seam,Australia,United States of America,1.0063326203621832,1.0123270668828273,0.9908249410642528,1.0136879099500733
seam,Australia,West Indies,1.0157607648032831,0.9859692473351803,1.0041673348286493,0.9848568592532554
seam,Australia,Zimbabwe,0.9920806380596616,0.9533171341032872,0.9733885344968741,0.9504840347993123
seam,Bangladesh,Australia,0.9562389972546858,1.0277168640876442,0.9907867965100212,1.008371270600028
seam,Bangladesh,Bangladesh,1.0,1.0,1.0338871394302898,0.9908474660281359
seam,Bangladesh,China,0.9748675341896038,0.999289782267125,1.0081215084880886,1.0087586510068054
seam,Bangladesh,England,0.9583296714145068,1.028562653123899,0.9913615199178883,1.0011522354401527
seam,Bangladesh,India,0.9562140446612073,1.050936776558804,0.9986957108525775,1.0192556236990342
seam,Bangladesh,Ireland,0.9675160928373794,0.9217255530452401,1.0144903735879418,0.8425329334523849
seam,Bangladesh,Namibia,0.9632361771269204,1.010663808133057,0.9768929266095063,1.046025182443246
seam,Bangladesh,Nepal,1.004353070120896,0.9802779726848486,1.0670292179157101,0.9179129799459311
seam,Bangladesh,Netherlands,0.9770313002555527,1.0185421374910886,1.0360195622565551,1.0470870968825925
seam,Bangladesh,New Zealand,0.9711533343623452,0.9768562946496561,0.9978366506731261,0.965452245898266
seam,Bangladesh,Oman,0.9623478597423039,1.024380302962886,0.9578680355203469,1.0261251899905373
seam,Bangladesh,Pakistan,0.9772725322981675,0.9695893198214308,0.9896872015770026,0.9844212702619829
seam,Bangladesh,Scotland,0.9784109229764274,0.9740318257708006,1.0380583166694959,0.9466457379679639
seam,Bangladesh,Singapore,0.981723592207833,0.9985869307325586,0.9947040762043423,0.9665498029062023
seam,Bangladesh,South Africa,0.9624871911146204,0.9816249391575225,1.0002770710253932,1.007950069506295
seam,Bangladesh,Sri Lanka,0.9702379408872349,1.0400902918505461,1.008235085970397,1.0378077430822068
seam,Bangladesh,United Arab Emirates,0.9755252393121349,1.0398933198700024,0.9981974870029668,1.0298988755693232
seam,Bangladesh,United States of America,0.9621827706710512,0.9994597662255685,0.9908249410642528,1.0136879099500733
seam,Bangladesh,West Indies,0.9762842708122527,1.0044758268915264,1.0041673348286493,0.9848568592532554
seam,Bangladesh,Zimbabwe,0.9557386192940073,0.9570196466619977,0.9733885344968741,0.9504840347993123
seam,China,Australia,1.0005110530113945,1.017508187371602,0.9907867965100212,1.008371270600028
seam,China,Bangladesh,1.0218689084022943,0.9956007139633148,1.0338871394302898,0.9908474660281359
seam,China,China,1.0,1.0,1.0081215084880886,1.0087586510068054
seam,China,England,0.9967143525551877,0.9891778286109799,0.9913615199178883,1.0011522354401527
seam,China,India,1.0008668884778926,1.011773277221957,0.9986957108525775,1.0192556236990342
seam,China,Ireland,1.011246710675672,0.8791814779815654,1.0144903735879418,0.8425329334523849
seam,China,Nepal,1.032602830156465,0.9745940739242908,1.0670292179157101,0.9179129799459311
seam,China,New Zealand,0.991164431049444,0.9892763098579623,0.9978366506731261,0.965452245898266
seam,China,Oman,0.9789333854881708,1.0053498629857056,0.9578680355203469,1.0261251899905373
seam,China,Pakistan,0.9861684826912778,1.0045771219100361,0.9896872015770026,0.9844212702619829
seam,China,Singapore,0.9993044493475475,0.9892342761486081,0.9947040762043423,0.9665498029062023
seam,China,South Africa,0.9972139253756555,1.0247763197913518,1.0002770710253932,1.007950069506295
seam,China,Sri Lanka,1.0012301504733383,1.0058761007723571,1.008235085970397,1.0378077430822068
seam,China,United Arab Emirates,0.9975348308423481,1.0081339955766224,0.9981974870029668,1.0298988755693232
seam,China,United States of America,0.9915870688680375,1.0312351716341195,0.9908249410642528,1.0136879099500733
seam,China,West Indies,0.9996288678540588,1.0026967711508508,1.0041673348286493,0.9848568592532554
seam,China,Zimbabwe,0.9764559971161404,0.9806353827398393,0.9733885344968741,0.9504840347993123
seam,England,Australia,1.000889411213741,1.032009796718711,0.9907867965100212,1.008371270600028
seam,England,Bangladesh,1.0434824128755562,0.9723834700810953,1.0338871394302898,0.9908474660281359
seam,England,China,1.003676237746261,1.0096436980732655,1.0081215084880886,1.0087586510068054
seam,England,England,1.0,1.0,0.9913615199178883,1.0011522354401527
seam,England,India,1.0093829629694873,1.0354333475802815,0.9986957108525775,1.0192556236990342
seam,England,Ireland,1.014652659462303,0.9185810312712213,1.0144903735879418,0.8425329334523849
seam,England,Namibia,0.9929396903352307,1.0200790835390283,0.9768929266095063,1.046025182443246
seam,England,Nepal,1.0347698548774913,0.9533016556231244,1.0670292179157101,0.9179129799459311
seam,England,Netherlands,1.0143756031454243,1.0155594920478956,1.0360195622565551,1.0470870968825925
seam,England,New Zealand,0.9984306440236633,0.9791125565518328,0.9978366506731261,0.965452245898266
seam,England,Oman,0.9931524604116504,0.9878285974522508,0.9578680355203469,1.0261251899905373
seam,England,Pakistan,0.9907153269863919,1.0145649267322745,0.9896872015770026,0.9844212702619829
seam,England,Scotland,1.0153521599420952,0.9826109312920056,1.0380583166694959,0.9466457379679639
seam,England,South Africa,1.0053709999379745,1.011376071988584,1.0002770710253932,1.007950069506295
seam,England,Sri Lanka,1.0051933893627314,0.9818522124384105,1.008235085970397,1.0378077430822068
seam,England,United Arab Emirates,1.0130284221961767,1.0010375946804064,0.9981974870029668,1.0298988755693232
seam,England,United States of America,1.0089410499464153,0.9938829564343411,0.9908249410642528,1.0136879099500733
seam,England,West Indies,1.017940651154383,0.9776642767644161,1.0041673348286493,0.9848568592532554
seam,England,Zimbabwe,0.9870744380761667,0.983030664380126,0.9733885344968741,0.9504840347993123
seam,Ghana,Australia,1.0034978692739964,1.0465109432125452,0.9907867965100212,1.008371270600028
seam,Ghana,Ghana,1.0,1.0,0.9984138762061919,0.9896357760280258
seam,Ghana,Namibia,0.9955722590541761,1.0490450673465515,0.9768929266095063,1.046025182443246
seam,Ghana,Nepal,1.0287964147475244,1.009097494521985,1.0670292179157101,0.9179129799459311
seam,Ghana,United Arab Emirates,1.005438662333324,1.02545916435462,0.9981974870029668,1.0298988755693232
seam,Ghana,West Indies,1.0086684059167632,1.0162789564443422,1.0041673348286493,0.9848568592532554
seam,Ghana,Zimbabwe,0.9810739508825789,1.0040819284944436,0.9733885344968741,0.9504840347993123
seam,India,Australia,0.9923335686248658,0.9769073926650798,0.9907867965100212,1.008371270600028
seam,India,Bangladesh,1.0458450250551452,0.9517479277955108,1.0338871394302898,0.9908474660281359
seam,India,China,0.9993050909244628,0.9893652332344844,1.0081215084880886,1.0087586510068054
seam,India,England,0.9907061759339966,0.9659159691960945,0.9913615199178883,1.0011522354401527
seam,India,India,1.0,1.0,0.9986957108525774,1.0192556236990342
seam,India,Ireland,1.0022027613953208,0.9349446299163273,1.0144903735879418,0.8425329334523849
seam,India,Namibia,0.9868336949902,0.9963345596820297,0.9768929266095063,1.046025182443246
seam,India,Nepal,1.0328763646039036,0.9683500932343508,1.0670292179157101,0.9179129799459311
seam,India,Netherlands,1.0112256903128232,0.994805250854179,1.0360195622565551,1.0470870968825925
seam,India,New Zealand,0.987802634895197,0.9722685295449329,0.9978366506731261,0.965452245898266
seam,India,Oman,0.9940199077886289,1.000053158060853,0.9578680355203469,1.0261251899905373
seam,India,Pakistan,0.9808527782351878,1.0074530170843585,0.9896872015770026,0.9844212702619829
seam,India,Scotland,1.0076171947279222,0.9860654973628851,1.0380583166694959,0.9466457379679639
seam,India,Singapore,1.0043060327227378,0.9873609717928048,0.9947040762043423,0.9665498029062023
seam,India,South Africa,1.0052189652983474,0.9716109638415403,1.0002770710253932,1.007950069506295
