competition,avg_runs,avg_wkts,allgames
Afghanistan Premier League,1.0183327508072721,0.9554675923180704,0.0
Bangladesh Premier League,1.0331398349147516,0.9308562454160622,1.0
Big Bash League,0.9980353087823796,1.0296288749773956,1.0
Caribbean Premier League,0.9857758682531617,0.9825111119041415,1.0
Indian Premier League,0.9662890209651159,1.0676008505405035,1.0
International League T20,0.9754487550229989,0.9620072596635028,1.0
Lanka Premier League,1.0028015993734554,0.9841710763559853,0.0
Major League Cricket,0.9813682421363259,1.0146352835237897,0.0
National T20 Cup,1.0306100273524332,0.9172279898135384,0.0
New Zealand Domestic Twenty20,1.029433775140848,0.9509423892092198,0.0
Super Smash,1.029433775140848,0.9509423892092198,0.0
Pakistan Super League,0.9873344292900673,0.9963341625895388,1.0
SA20,0.9882921830388085,1.0350226626796575,1.0
CSA Provincial T20 Cup,1.0464250263339256,0.9821892657813311,0.0
CSA T20 Challenge,1.0464250263339256,0.9821892657813311,0.0
Mzansi Super League,1.0464250263339256,0.9821892657813311,0.0
South Africa Domestic T20/Pro20,1.0464250263339256,0.9821892657813311,0.0
T20I,0.9875124710938699,1.0448284684366023,1.0
tier_2,1.0558773254572884,0.8236020891157314,0.0
The Hundred (Men's Comp),0.9706832223708025,0.9817560515046323,1.0
Vitality Blast,1.022291319487357,0.9755939220889829,1.0
