nationality,host_2,host,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor
Afghanistan,United Arab Emirates,Australia,0.9848707289762223,1.0104626222662625,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,Bangladesh,0.9954525082984578,1.0363347257210516,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,China,1.000074542598932,1.0098119916404409,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,England,0.9986036501818963,0.9847077346674006,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,India,0.9854937745125474,1.0068012385049405,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,Ireland,0.9987510542442828,0.9795401195872889,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,Pakistan,0.9857699902430063,1.0476404336188625,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,South Africa,1.0023365626369312,0.9820767821245432,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,Sri Lanka,0.9907399704050532,1.0322025046134078,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,United Arab Emirates,1.0,1.0,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,United States of America,0.9902020154688774,0.9972002819987983,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,West Indies,0.9979429551625837,0.9973747160133766,1.0096494132827194,0.997170162163027
Afghanistan,United Arab Emirates,Zimbabwe,1.0072012037506566,0.971138339454876,1.0096494132827194,0.997170162163027
Australia,Australia,Australia,1.0,1.0,1.0096494132827194,0.997170162163027
Australia,Australia,Bangladesh,1.0191270052314285,0.9938076388064845,1.0096494132827194,0.997170162163027
Australia,Australia,England,1.0062249301221737,0.9086031004164407,1.0096494132827194,0.997170162163027
Australia,Australia,India,1.0219016223014652,0.9943370729516496,1.0096494132827194,0.997170162163027
Australia,Australia,New Zealand,1.0106814079329998,0.9771080730879468,1.0096494132827194,0.997170162163027
Australia,Australia,Pakistan,1.0176231644440557,0.9951251401287255,1.0096494132827194,0.997170162163027
Australia,Australia,Scotland,1.007739519487855,0.9387821499789054,1.0096494132827194,0.997170162163027
Australia,Australia,South Africa,1.0158406492001486,0.9896862592035345,1.0096494132827194,0.997170162163027
Australia,Australia,Sri Lanka,1.0135472270018768,0.998272630345712,1.0096494132827194,0.997170162163027
Australia,Australia,United Arab Emirates,1.0162775549397358,0.9855371542551891,1.0096494132827194,0.997170162163027
Australia,Australia,United States of America,1.0118734308159125,0.9868561052947945,1.0096494132827194,0.997170162163027
Australia,Australia,West Indies,1.0160991428972777,0.982674532959515,1.0096494132827194,0.997170162163027
Australia,Australia,Zimbabwe,1.015834388744968,0.9906488595293382,1.0096494132827194,0.997170162163027
Bangladesh,Bangladesh,Australia,0.9871940682402925,1.0041378385517243,1.0096494132827194,0.9971701621630269
Bangladesh,Bangladesh,Bangladesh,1.0,1.0,1.0096494132827194,0.9971701621630269
Bangladesh,Bangladesh,China,0.9994705413139696,0.9978461873932368,1.0096494132827194,0.9971701621630269
Bangladesh,Bangladesh,England,1.0038919438637506,0.9808073755186811,1.0096494132827194,0.9971701621630269
Bangladesh,Bangladesh,India,0.9805196257787143,0.99591639679734,1.0096494132827194,0.9971701621630269
Bangladesh,Bangladesh,New Zealand,0.9983523751827457,0.9622110494071314,1.0096494132827194,0.9971701621630269
Bangladesh,Bangladesh,Oman,0.9907422653906781,0.9989063861126759,1.0096494132827194,0.9971701621630269
Bangladesh,Bangladesh,Pakistan,0.9868632865750827,1.0187948323329965,1.0096494132827194,0.9971701621630269
Bangladesh,Bangladesh,South Africa,1.0059874868174579,0.9698643874550574,1.0096494132827194,0.9971701621630269
Bangladesh,Bangladesh,Sri Lanka,0.989940696916731,1.0161098955732466,1.0096494132827194,0.9971701621630269
