competition,avg_runs,avg_wkts
Abu Dhabi Women's T20 Counties Super Cup,1.12747405533224,0.9483723334800406
CSA Women Pro20 Series,1.211866714576564,0.8530190852414509
FairBreak Invitational Tournament,1.078195106688084,0.9356623358523253
ICC Womens T20 World Cup Africa Qualifier Division 1,1.4223558998245245,2.077153128142406
New Zealand Cricket Women's Twenty20,1.1094248759080345,0.8266877559072466
The Hundred (Women's Comp),0.9710954501007287,0.9625044639584414
Vitality Women's T20 County Cup,1.1099948837847098,0.8274812281993517
WT20I,0.9749457750785411,1.0227751037631245
tier_2,1.0535448179776448,0.8515886462547888
Women's Big Bash League,0.9751890226157153,1.0375579714611576
Women's Premier League,0.9715725771482256,0.9903138060038154
Women's Super Smash,1.0620030845002184,0.8310496144464767
Women's Vitality Blast,1.0068204024616754,0.9750569853183472
Charlotte Edwards Cup,1.0068204024616754,0.9750569853183472
Women's Cricket Super League,1.0068204024616754,0.9750569853183472
Women's T20 Challenge,0.9715725771482256,0.9903138060038154
