nationality,host_2,host,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor
Australia,Australia,Australia,1.0,1.0,1.005356654893407,1.0280649402473991
Australia,Australia,Bangladesh,1.0158826120696665,1.0049279988524638,1.005356654893407,1.0280649402473991
Australia,Australia,England,0.995452778581033,1.0182221200438681,1.005356654893407,1.0280649402473991
Australia,Australia,Hong Kong,1.0135642313734243,1.0263696433253418,1.005356654893407,1.0280649402473991
Australia,Australia,India,1.0220758908502865,0.9838119578916676,1.005356654893407,1.0280649402473991
Australia,Australia,Malaysia,1.0083838549597421,1.0202435398080532,1.005356654893407,1.0280649402473991
Australia,Australia,New Zealand,1.007769222879692,1.0201187667729499,1.005356654893407,1.0280649402473991
Australia,Australia,South Africa,1.0133469814719165,1.0225289841840135,1.005356654893407,1.0280649402473991
Australia,Australia,Sri Lanka,1.0128422918170714,0.9975484691889772,1.005356654893407,1.0280649402473991
Australia,Australia,United Arab Emirates,1.009802286501182,1.0234973544151047,1.005356654893407,1.0280649402473991
Australia,Australia,West Indies,1.014646542422818,1.070441726371037,1.005356654893407,1.0280649402473991
Bangladesh,Bangladesh,Bangladesh,1.0,1.0,1.005356654893407,1.0280649402473991
Bangladesh,Bangladesh,China,0.9941667019616336,1.0378843929463144,1.005356654893407,1.0280649402473991
Bangladesh,Bangladesh,South Africa,0.9935948048823137,1.039531088627681,1.005356654893407,1.0280649402473991
Bangladesh,Bangladesh,Sri Lanka,1.0008675451321742,1.0129715803745778,1.005356654893407,1.0280649402473991
Bangladesh,Bangladesh,United Arab Emirates,1.0030999879965425,1.0500920040557777,1.005356654893407,1.0280649402473991
England,England,Australia,0.9937906022324541,1.003112054152493,1.005356654893407,1.0280649402473991
England,England,England,1.0,1.0,1.005356654893407,1.0280649402473991
England,England,Hong Kong,1.005741321750656,1.0669287764350062,1.005356654893407,1.0280649402473991
England,England,India,0.9884212677947751,1.1062659843527167,1.005356654893407,1.0280649402473991
England,England,Malaysia,1.0020437640370095,1.0524077289794649,1.005356654893407,1.0280649402473991
England,England,New Zealand,0.9993893298703085,1.0685964180143528,1.005356654893407,1.0280649402473991
England,England,South Africa,1.0103961220853808,1.0408734716394963,1.005356654893407,1.0280649402473991
