balls_bowled_career,runs_weight_curve,wkts_weight_curve
3083,0.898344222,0.890629813
3084,0.898419576,0.890708292
3085,0.898494874,0.890786715
3086,0.898570116,0.890865081
3087,0.898645302,0.890943392
3088,0.898720433,0.891021646
3089,0.898795508,0.891099844
3090,0.898870527,0.891177986
3091,0.89894549,0.891256071
3092,0.899020398,0.891334101
3093,0.899095251,0.891412075
3094,0.899170048,0.891489993
3095,0.89924479,0.891567855
3096,0.899319476,0.891645661
3097,0.899394107,0.891723411
3098,0.899468682,0.891801105
3099,0.899543202,0.891878744
3100,0.899617667,0.891956327
3101,0.899692077,0.892033854
3102,0.899766432,0.892111326
3103,0.899840731,0.892188742
3104,0.899914975,0.892266103
3105,0.899989165,0.892343408
3106,0.900063299,0.892420657
3107,0.900137379,0.892497851
3108,0.900211403,0.89257499
3109,0.900285373,0.892652074
3110,0.900359288,0.892729102
3111,0.900433148,0.892806074
3112,0.900506953,0.892882992
3113,0.900580703,0.892959854
3114,0.900654399,0.893036662
3115,0.900728041,0.893113414
3116,0.900801627,0.893190111
3117,0.900875159,0.893266753
3118,0.900948637,0.89334334
3119,0.90102206,0.893419872
3120,0.901095429,0.893496349
3121,0.901168743,0.893572771
3122,0.901242003,0.893649139
3123,0.901315209,0.893725451
3124,0.901388361,0.893801709
3125,0.901461458,0.893877912
3126,0.901534501,0.893954061
3127,0.90160749,0.894030154
3128,0.901680424,0.894106194
3129,0.901753305,0.894182178
3130,0.901826132,0.894258108
3131,0.901898905,0.894333984
3132,0.901971623,0.894409805
3133,0.902044288,0.894485572
3134,0.902116899,0.894561285
3135,0.902189456,0.894636943
3136,0.90226196,0.894712546
3137,0.902334409,0.894788096
3138,0.902406805,0.894863591
3139,0.902479148,0.894939033
3140,0.902551436,0.89501442
3141,0.902623671,0.895089753
3142,0.902695853,0.895165031
3143,0.902767981,0.895240256
3144,0.902840055,0.895315427
3145,0.902912077,0.895390544
3146,0.902984044,0.895465607
3147,0.903055959,0.895540616
3148,0.90312782,0.895615572
3149,0.903199628,0.895690473
3150,0.903271382,0.895765321
3151,0.903343084,0.895840115
3152,0.903414732,0.895914856
3153,0.903486327,0.895989543
3154,0.903557869,0.896064176
3155,0.903629358,0.896138756
3156,0.903700794,0.896213282
3157,0.903772177,0.896287755
3158,0.903843507,0.896362174
3159,0.903914785,0.89643654
3160,0.903986009,0.896510852
3161,0.904057181,0.896585111
3162,0.9041283,0.896659317
3163,0.904199366,0.89673347
3164,0.904270379,0.896807569
