nationality,host,host_2,balls_faced_career_2,realexprbat_2,realexpwbat_2,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor,run_factor_2,wkt_factor_2,all_away_runs_factor_2,all_away_wkts_factor_2,run_factor_smooth,wkt_factor_smooth,run_factor_adj
Ireland,Bangladesh,England,454,8.428945352,0.181905631,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.007983038,0.974162383,0.996203388
Ireland,Bangladesh,England,480,4.401238331,0.106843331,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.008647046,0.972837649,0.995547572
Ireland,Bangladesh,England,484,30.2816913,0.810076012,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.008747504,0.972643228,0.995448429
Ireland,Bangladesh,England,505,1.231328375,0.028759154,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.009267474,0.971663571,0.994935578
Ireland,Bangladesh,England,506,5.888181761,0.130866415,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.009291924,0.971618641,0.994911476
Ireland,Bangladesh,England,511,52.62300894,1.670981264,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.009413745,0.971396337,0.994791405
Ireland,Bangladesh,England,552,33.60575659,0.848356297,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010385993,0.969720932,0.993834163
Ireland,Bangladesh,England,576,80.9966437,2.160707871,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,626,78.23160105,2.302562849,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,673,5.010809654,0.189098784,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,677,35.17031745,1.286251875,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,704,20.84292246,0.484233625,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,720,19.28671467,0.555580426,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,736,15.78267987,0.443787067,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,Ireland,748,20.50033191,0.648667218,0.985949578,1.067711248,0.991671567,1.036671441,1,1,0.991671567,1.036671441,1.010750516,0.963838048,1.003462906
Ireland,Bangladesh,England,763,17.30069493,0.506942843,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,775,53.33738447,1.772194399,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,818,18.80688002,0.602263841,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,832,12.07874028,0.407363155,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,840,30.93950455,1.102803416,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,864,5.910028604,0.191826956,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,870,18.87048544,0.649330561,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,886,41.09278401,0.983184672,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,United Arab Emirates,916,28.60378701,0.882407935,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,United Arab Emirates,940,20.19486293,0.703709948,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,United Arab Emirates,940,49.77611117,1.612894839,0.985949578,1.067711248,0.991671567,1.036671441,0.993414932,1.03372639,0.991671567,1.036671441,1.010750516,0.963838048,0.996855035
Ireland,Bangladesh,India,994,1.973220508,0.056059891,0.985949578,1.067711248,0.991671567,1.036671441,0.991372018,1.078873575,0.991671567,1.036671441,1.010750516,0.963838048,0.994805047
Ireland,Bangladesh,India,996,31.86458169,0.774685576,0.985949578,1.067711248,0.991671567,1.036671441,0.991372018,1.078873575,0.991671567,1.036671441,1.010750516,0.963838048,0.994805047
Ireland,Bangladesh,England,1016,6.969890198,0.221068326,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1022,17.08240509,0.549390099,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1035,9.095556521,0.30690707,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1043,40.62630379,1.479322814,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1071,14.09844945,0.477242832,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1080,7.142387775,0.210478763,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1086,41.74005028,1.468174503,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1117,3.187613956,0.09527472,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1120,44.00138056,1.617958769,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,Netherlands,1151,31.00692981,0.922349661,0.985949578,1.067711248,0.991671567,1.036671441,0.989782228,1.014729128,0.991671567,1.036671441,1.010750516,0.963838048,0.993209751
Ireland,Bangladesh,Netherlands,1174,22.15173413,0.66450963,0.985949578,1.067711248,0.991671567,1.036671441,0.989782228,1.014729128,0.991671567,1.036671441,1.010750516,0.963838048,0.993209751
Ireland,Bangladesh,Netherlands,1190,43.91718542,0.875486997,0.985949578,1.067711248,0.991671567,1.036671441,0.989782228,1.014729128,0.991671567,1.036671441,1.010750516,0.963838048,0.993209751
Ireland,Bangladesh,Netherlands,1219,60.2336953,1.252447892,0.985949578,1.067711248,0.991671567,1.036671441,0.989782228,1.014729128,0.991671567,1.036671441,1.010750516,0.963838048,0.993209751
Ireland,Bangladesh,Ireland,1260,2.614359139,0.102191752,0.985949578,1.067711248,0.991671567,1.036671441,1,1,0.991671567,1.036671441,1.010750516,0.963838048,1.003462906
Ireland,Bangladesh,Ireland,1263,1.821906823,0.065306739,0.985949578,1.067711248,0.991671567,1.036671441,1,1,0.991671567,1.036671441,1.010750516,0.963838048,1.003462906
Ireland,Bangladesh,England,1265,48.53889191,1.389885877,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1301,8.970974514,0.209763048,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1308,2.970819136,0.085618328,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1311,19.48898155,0.579181851,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1325,6.179176474,0.231284078,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1331,72.46320299,1.881420062,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1375,1.911297009,0.048615342,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1377,100.6971153,2.537030319,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
Ireland,Bangladesh,England,1435,15.64982922,0.427707794,0.985949578,1.067711248,0.991671567,1.036671441,0.9900473,1.045744084,0.991671567,1.036671441,1.010750516,0.963838048,0.993475741
