nationality,host_2,host,run_factor,wkt_factor,all_away_runs_factor,all_away_wkts_factor
Afghanistan,United Arab Emirates,Australia,0.9765067032180031,1.0897867243601544,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,Bangladesh,0.9912506038354362,1.024045181595989,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,China,0.9923578422241107,1.0419230212814234,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,England,0.9752296343256032,1.0764776458800722,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,India,0.9801429151588125,1.042909767086237,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,Ireland,0.9761345739413176,1.069348643441246,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,Pakistan,0.9975,1.0231655335568262,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,South Africa,0.9975,1.0449783175779421,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,Sri Lanka,0.986754176565949,1.0183162197997988,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,United Arab Emirates,1.0,1.0,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,United States of America,0.986059883301194,1.0388338254565184,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,West Indies,0.9781527676278011,1.0341721948330536,0.9916715666884389,1.0366714407034046
Afghanistan,United Arab Emirates,Zimbabwe,0.9975,1.0239435692351344,0.9916715666884389,1.0366714407034046
Australia,Australia,Australia,1.0,1.0,0.9916715666884389,1.0366714407034046
Australia,Australia,Bangladesh,0.9792783247155188,1.0845026061907574,0.9916715666884389,1.0366714407034046
Australia,Australia,England,0.9781294218869822,1.0408853958294864,0.9916715666884389,1.0366714407034046
Australia,Australia,India,0.9826976972810589,1.0942695336012458,0.9916715666884389,1.0366714407034046
Australia,Australia,New Zealand,0.9882974786360347,1.005,0.9916715666884389,1.0366714407034046
Australia,Australia,Pakistan,0.9922830241853966,1.0488810092564826,0.9916715666884389,1.0366714407034046
Australia,Australia,Scotland,0.9868118948066945,1.0247715468732004,0.9916715666884389,1.0366714407034046
Australia,Australia,South Africa,0.9975,1.064148515715181,0.9916715666884389,1.0366714407034046
Australia,Australia,Sri Lanka,0.9947258811766868,1.036694544430489,0.9916715666884389,1.0366714407034046
Australia,Australia,United Arab Emirates,0.9856239189639616,1.0429522948410153,0.9916715666884389,1.0366714407034046
Australia,Australia,United States of America,0.991177077970119,1.0642745351557712,0.9916715666884389,1.0366714407034046
Australia,Australia,West Indies,0.9807757435227633,1.081785455442319,0.9916715666884389,1.0366714407034046
Australia,Australia,Zimbabwe,0.9975,1.0614697675503602,0.9916715666884389,1.0366714407034046
Bangladesh,Bangladesh,Australia,0.9800524987896253,1.0489420677461436,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,Bangladesh,1.0,1.0,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,China,0.9942652781117736,1.0139028180966088,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,England,0.9778124818444173,1.04231205936169,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,India,0.9790580686054193,1.0105826989035955,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,New Zealand,0.9845453650849542,1.0217148877058921,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,Oman,0.9892958472710092,1.005288417829184,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,Pakistan,0.9936684859517652,1.005,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,South Africa,0.9975,1.0204773533823457,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,Sri Lanka,0.9890811381185082,1.005,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,United Arab Emirates,0.9975,1.009151474524776,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,United States of America,0.9886756115500126,1.0168450713240755,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,West Indies,0.9795550288380227,1.0134763529404414,0.9916715666884388,1.0366714407034046
Bangladesh,Bangladesh,Zimbabwe,0.9975,1.005,0.9916715666884388,1.0366714407034046
