ballsremaining,wickets,wkt_value_sum_smooth
120,0,39.872513107699135
119,0,39.153416031815794
118,0,38.432565859919805
117,0,37.71053886831474
116,0,36.987889065685295
115,0,36.26514865415409
114,0,35.54282849033905
113,0,34.82141854641053
112,0,34.10138837114829
111,0,33.3831875509989
110,0,32.667246171132405
109,0,31.95397527649997
108,0,31.24376733289068
107,0,30.536996687988832
106,0,29.834020032431
105,0,29.13517686086301
104,0,28.44078993299752
103,0,27.751165734670664
102,0,27.066594938899385
101,0,26.38735286693874
100,0,25.713699949338643
99,0,25.04588218700121
98,0,24.384131612238065
97,0,23.72866674982723
96,0,23.079693078070235
95,0,22.437403489849373
94,0,21.801978753684807
93,0,21.173587974791744
92,0,20.55238905613736
91,0,19.938529159498188
90,0,19.33214516651705
89,0,18.733364139760425
88,0,18.142303783775304
87,0,17.559072906146454
86,0,16.983771878553604
85,0,16.41649309782843
84,0,15.857321447011875
83,0,15.306334756411085
82,0,14.763604264656657
81,0,14.22919507975977
80,0,13.703166640169242
79,0,13.185573175828736
78,0,12.67646416923386
77,0,12.175884816489251
76,0,11.68387648836586
75,0,11.20047719135787
74,0,10.725722028740025
73,0,10.259643661624544
72,0,9.802272770018504
71,0,9.353638513880774
70,0,8.91376899417925
69,0,8.48269171394793
68,0,8.060434039344095
67,0,7.647023660705351
66,0,7.242489053606896
65,0,6.846859939918494
64,0,6.460167748861771
63,0,6.0824460780672
62,0,5.713731154631311
61,0,5.354062296173822
60,0,5.003482371894727
59,0,4.662038263631473
58,0,4.3297813269160415
57,0,4.006767852032134
56,0,3.6930595250722495
55,0,3.3887238889948748
54,0,3.0938348046815776
53,0,2.8084729119941088
52,0,2.5327260908315807
51,0,2.2666899221876164
50,0,2.0104681492074263
49,0,1.7641731382449173
48,0,1.5279263399199436
47,0,1.3018587501753025
46,0,1.086111371333974
45,0,0.8808356731561275
44,0,0.6861940538964078
43,0,0.5023603013609375
42,0,0.3295200539644973
41,0,0.1678712617876634
40,0,0.0176246476339265
39,0,0.0
38,0,0.0
37,0,0.0
36,0,0.0
35,0,0.0
34,0,0.0
33,0,0.0
32,0,0.0
31,0,0.0
30,0,0.0
29,0,0.0
28,0,0.0
27,0,0.0
26,0,0.0
25,0,0.0
24,0,0.0
23,0,0.0
22,0,0.0
21,0,0.0
20,0,0.0
19,0,0.0297578777991684
18,0,0.2153564133254892
17,0,0.4217894542811446
16,0,0.6497125859588788
15,0,0.8998056928026186
14,0,1.1727734194646118
13,0,1.4693456318625522
12,0,1.790277878236717
11,0,2.1363518502070864
10,0,2.5083758438304926
9,0,2.9071852206577304
8,0,3.333642868790702
7,0,3.788639663939543
6,0,4.273094930479752
5,0,4.787956902509324
4,0,5.33420318490588
3,0,5.912841214383796
2,0,6.524908720551339
1,0,7.171474186967793
119,1,45.360150001367614
118,1,44.56664620747149
117,1,43.77660203568742
116,1,42.990368230361234
115,1,42.20827640764645
114,1,41.43063951656126
113,1,40.65775230004554
112,1,39.889891756018
111,1,39.12731759843376
110,1,38.37027271834072
109,1,37.6189836449372
108,1,36.873661006629135
107,1,36.13449999208679
106,1,35.40168081130233
105,1,34.675369156646624
104,1,33.955716663926545
103,1,33.24286137344212
102,1,32.53692819104338
101,1,31.83802934918803
100,1,31.146264867998077
99,1,30.4617230163171
98,1,29.78448077276755
97,1,29.11460428680768
96,1,28.45214933978874
95,1,27.797161806012248
94,1,27.149678113786813
93,1,26.509725706485582
92,1,25.8773235036032
91,1,25.25248236181291
90,1,24.63520553602379
89,1,24.025489140437905
88,1,23.42332260960731
87,1,22.82868915949121
86,1,22.24156624851324
85,1,21.66192603861839
84,1,21.089735856330265
83,1,20.524958653808184
82,1,19.96755346990428
81,1,19.417475891220683
80,1,18.87467851316662
79,1,18.339111401015543
78,1,17.810722550962282
77,1,17.289458351180123
76,1,16.775264042878014
75,1,16.268084181357672
74,1,15.767863097070702
73,1,15.274545356675644
72,1,14.788076224095292
71,1,14.30840212157367
70,1,13.8354710907332
69,1,13.36923325363192
68,1,12.909641273820377
67,1,12.456650817399108
66,1,12.010221014075526
65,1,11.570314918220994
64,1,11.13689996992822
63,1,10.709948456068185
62,1,10.289437971347295
61,1,9.87535187936459
60,1,9.467679773668811
59,1,9.066417938815498
58,1,8.671569811424284
57,1,8.283146441235782
56,1,7.901166952168982
55,1,7.525659003378113
54,1,7.156659250310007
53,1,6.794213805761085
52,1,6.438378700934528
51,1,6.0892203464974415
50,1,5.746815993637952
49,1,5.4112541951223
48,1,5.0826352663520495
47,1,4.761071746421223
46,1,4.446688859173317
45,1,4.139624974258535
44,1,3.840032068190936
43,1,3.548076185405444
42,1,3.2639378993151134
41,1,2.987812773368178
40,1,2.719911822105232
39,1,2.460461972216301
38,1,2.209706523598008
37,1,1.967905610410744
