ballsremaining,mean_hundred,mean_t20,ratio_hundred_vs_t20,ratio_pred,adj_runs_to_come
1,1.6102941176470589,1.7887207061517871,0.8964966641260066,0.9514607589756,1.6924440681934152
2,2.9926470588235294,3.3769222214063674,0.8835419534019295,0.9521021675742589,3.1431995018435024
3,4.746478873239437,4.929391104365359,0.968524294386757,0.9527405545120486,4.981921731746134
4,6.090277777777778,6.596014480979689,0.9299213115794779,0.9533759197889692,6.388117899103081
5,7.829931972789115,8.153092860830435,0.9575793232074253,0.9540082634050205,8.207404771152332
6,9.059602649006623,9.51776058670104,0.9524779091132032,0.9546375853602027,9.490096333875503
7,10.731543624161073,11.056727294416886,0.9666689794964972,0.9552638856545157,11.23411424352986
8,12.14864864864865,12.422446000772647,0.9797632335157418,0.9558871642879595,12.709291538293831
9,13.657718120805368,13.834002373150398,0.9879672940331433,0.9565074212605341,14.278737223812161
10,15.102739726027398,15.389580549166745,0.9818736975532255,0.9571246565722396,15.77928185458621
11,16.51948051948052,16.62039086416595,0.9952440320988432,0.9577388702230758,17.248418157689283
12,17.401360544217688,17.79222743665967,0.9795873062814427,0.9583500622130429,18.157624473915185
13,19.163120567375888,19.68752720971639,0.9759810786713247,0.9589582325421407,19.983269257281002
14,20.356164383561644,21.191584768334817,0.961158127995023,0.9595633812103693,21.21398625892214
15,21.96,22.674664332945195,0.9678241097785911,0.9601655082177288,22.871056929302142
16,23.06040268456376,24.02927539690429,0.9560508480493098,0.9607646135642192,24.002135756244066
17,25.217687074829932,25.95697041744846,0.9698878952834891,0.9613606972498402,26.231244055399856
18,26.897959183673468,27.214748504183436,0.9861148391698839,0.9619537592745921,27.96180057964239
19,27.91156462585034,28.55471626583663,0.9760194280218164,0.9625437996384749,28.99770860955495
20,29.142857142857142,29.83587772503098,0.9741965137791545,0.9631308183414884,30.258461870258863
21,30.25503355704698,31.228678073344756,0.9655568696527742,0.9637148153836328,31.394177067832192
22,31.67549668874172,32.54948277131337,0.9701406562311756,0.9642957907649079,32.84831997826702
23,32.82876712328767,33.71287058649565,0.9714917915156476,0.9648737444853139,34.02389930384032
24,33.66887417218543,34.9715699943263,0.9646333171654102,0.9654486765448507,34.87381047812884
25,35.59574468085106,36.94375596753317,0.9612839389126997,0.9660205869435183,36.847811694651064
26,37.041666666666664,38.34086762601067,0.9642633202774538,0.9665894756813167,38.32202563612358
27,38.0,39.60038456704218,0.9580160976991071,0.9671553427582459,39.290482428217985
28,39.070422535211264,40.94068002321829,0.9524475113501376,0.967718188174306,40.37376068018459
29,40.417808219178085,42.39100056689264,0.951788969518863,0.9682780119294968,41.741945723457185
30,41.66891891891892,43.168407748891795,0.9691007670779557,0.9688348140238184,43.009312130163096
31,43.266666666666666,45.18719885135743,0.955797637805923,0.9693885944572709,44.63294381020675
32,44.33561643835616,46.111702445011474,0.9595810895322694,0.9699393532298543,45.709678951287586
33,45.58741258741259,47.20178164103603,0.9637065328627642,0.9704870903415683,46.973744464099816
34,46.83783783783784,48.49909986696771,0.9633986220274672,0.9710318057924132,48.23512222611049
35,48.49324324324324,49.828245135632876,0.970792976416051,0.9715734995823889,49.91206868454839
36,49.6551724137931,51.03578759640352,0.9712881353189822,0.9721121717114954,51.07967357961425
37,51.02,52.50452862327829,0.9700684890041567,0.9726478221797328,52.45475169590434
38,51.751724137931035,53.44554126040252,0.9669505312523313,0.9731804509871009,53.17793229964602
39,52.78472222222222,54.39578066158012,0.9683575855770297,0.9737100581335999,54.209897270034965
40,54.647887323943664,56.287344793126856,0.9697572962879419,0.9742366436192297,56.0930321004249
41,56.30344827586207,57.48575053646584,0.9776495385397276,0.9747602074439903,57.76133232141328
42,56.875,58.72229960379426,0.9672157813594584,0.9752807496078817,58.31654118351765
43,58.65034965034965,59.91987034171499,0.9771075655308263,0.9757982701109039,60.1049944920314
44,60.15492957746479,61.11492186485774,0.9834366210459633,0.976312768953057,61.614404205705064
45,60.758865248226954,62.55921772079338,0.9701188347908046,0.9768242461343408,62.200406561029304
46,62.10958904109589,63.80797721041449,0.9722681421739197,0.9773327016547554,63.55009807400901
47,63.50344827586207,64.94449753061944,0.9762005077733034,0.9778381355143009,64.94269958336405
48,64.48275862068965,65.95149374805892,0.9762256577204196,0.9783405477129772,65.91034049588163
49,65.52083333333333,67.28960580629861,0.9724582464827738,0.9788399382507842,66.93722923731636
50,67.58041958041959,69.33664670313428,0.9735607045300952,0.9793363071277221,69.00634551028236
51,68.76595744680851,70.69383497317176,0.9726336812520784,0.9798296543437909,70.18154343661122
52,69.70503597122303,71.54173387602629,0.9736969895287174,0.9803199798989903,71.10437143023981
53,71.12162162162163,73.45746583774572,0.9667655544659612,0.9808072837933207,72.51334976485414
54,72.76100628930817,74.13592868185455,0.9811306820685652,0.9812915660267818,74.14820305030763
55,74.20270270270271,75.31382625099162,0.9847880577889359,0.9817728265993738,75.58031826947494
56,75.95541401273886,76.36515615517528,0.9935903076050399,0.9822510655110965,77.32790187732384
57,76.56462585034014,77.52751140123597,0.9867792575096757,0.9827262827619502,77.91042856323676
