ord,totalInningWickets,inningBallsRemaining,predictedBallsFacedToCome,R19,inningNumber,fxbRunsAdjustRatio,fxbWktsAdjustRatio
1.0,3.0,1.0,4.126852131638881,10,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,0,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,0,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,1,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,1,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,2,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,2,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,3,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,3,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,4,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,4,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,5,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,5,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,6,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,6,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,7,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,7,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,8,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,8,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,9,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,9,2,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,10,1,1.0,1.0
1.0,4.0,1.0,1.7439941949533235,10,2,1.0,1.0
1.0,5.0,1.0,1.0,0,1,1.0,1.0
1.0,5.0,1.0,1.0,0,2,1.0,1.0
1.0,5.0,1.0,1.0,1,1,1.0,1.0
1.0,5.0,1.0,1.0,1,2,1.0,1.0
1.0,5.0,1.0,1.0,2,1,1.0,1.0
1.0,5.0,1.0,1.0,2,2,1.0,1.0
1.0,5.0,1.0,1.0,3,1,1.0,1.0
1.0,5.0,1.0,1.0,3,2,1.0,1.0
1.0,5.0,1.0,1.0,4,1,1.0,1.0
1.0,5.0,1.0,1.0,4,2,1.0,1.0
1.0,5.0,1.0,1.0,5,1,1.0,1.0
1.0,5.0,1.0,1.0,5,2,1.0,1.0
1.0,5.0,1.0,1.0,6,1,1.0,1.0
1.0,5.0,1.0,1.0,6,2,1.0,1.0
