ballsremaining,wickets,wkt_value_sum_smooth
120,0,32.1746952905252
119,0,31.671588505503674
118,0,31.161269446082912
117,0,30.64459812354966
116,0,30.122402312275288
115,0,29.59547810385012
114,0,29.06459046121698
113,0,28.53047377280581
112,0,27.993832406667284
111,0,27.455341264607164
110,0,26.91564633632033
109,0,26.375365253524844
108,0,25.83508784409588
107,0,25.29537668619999
106,0,24.75676766242908
105,0,24.219770513934503
104,0,23.684869394561108
103,0,23.152523424981403
102,0,22.623167246829496
101,0,22.097211576835168
100,0,21.575043760958188
99,0,21.057028328522065
98,0,20.54350754634821
97,0,20.03480197289024
96,0,19.531211012367727
95,0,19.03301346890047
94,0,18.54046810064246
93,0,18.05381417391607
92,0,17.573272017346014
91,0,17.099043575993466
90,0,16.63131296549016
89,0,16.17024702617237
88,0,15.715995877215134
87,0,15.268693470766188
86,0,14.8284581460801
85,0,14.395393183652295
84,0,13.96958735935322
83,0,13.551115498562336
82,0,13.140039030302225
81,0,12.736406541372622
80,0,12.340254330484555
79,0,11.951606962394346
78,0,11.570477822037764
77,0,11.196869668663986
76,0,10.830775189969817
75,0,10.472177556233586
74,0,10.121050974449387
73,0,9.777361242461058
72,0,9.44106630309625
71,0,9.11211679830053
70,0,8.790456623271478
69,0,8.476023480592673
68,0,8.168749434367857
67,0,7.868561464354967
66,0,7.575382020100193
65,0,7.289129575072082
64,0,7.009719180795592
63,0,6.737063020986156
62,0,6.471070965683789
61,0,6.211651125387126
60,0,5.95871040518751
59,0,5.712155058903043
58,0,5.471891243212715
57,0,5.237825571790401
56,0,5.009865669438994
55,0,4.787920726224439
54,0,4.5719020516098325
53,0,4.36172362858947
52,0,4.15730266782294
51,0,3.958560161769196
50,0,3.765421438820592
49,0,3.577816717437015
48,0,3.3956816602799176
47,0,3.218957928346386
46,0,3.047593735103236
45,0,2.8815444006210797
44,0,2.7207729057083725
43,0,2.5652504460455336
42,0,2.4149569863189733
41,0,2.2698818143551858
40,0,2.130024095254818
39,0,1.9953934255267556
38,0,1.8660103872221607
37,0,1.741907102068584
36,0,1.6231277856040158
35,0,1.5097293013109585
34,0,1.4017817147505056
33,0,1.2993688476964076
32,0,1.2025888322691571
31,0,1.1115546650700443
30,0,1.026394761315239
29,0,0.9472535089698644
28,0,0.8742918228820632
27,0,0.8076876989170785
26,0,0.7476367680913141
25,0,0.6943528507064212
24,0,0.6480685104833608
23,0,0.6090356086964794
22,0,0.5775258583075797
21,0,0.5538313780999999
20,0,0.5382652468126738
19,0,0.5311620572742157
18,0,0.5328784705369829
17,0,0.543793770011157
16,0,0.5643104155988099
15,0,0.5948545978279789
14,0,0.6358767919867379
13,0,0.6878523122572717
12,0,0.751281865849946
11,0,0.8266921071373823
10,0,0.9146361917885296
9,0,1.015694330902734
8,0,1.1304743451438164
7,0,1.259612218874141
6,0,1.403772654288689
5,0,1.563649625549131
4,0,1.7399669329178988
3,0,1.93347875689226
2,0,2.144970212338387
1,0,2.375257902625433
119,1,35.270821917352194
118,1,34.77327770693991
117,1,34.269632553643085
116,1,33.76060699473453
115,1,33.24689259133436
114,1,32.729152482543924
113,1,32.20802193958008
112,1,31.68410891990903
111,1,31.157994621380716
110,1,30.63023403636252
109,1,30.10135650587374
108,1,29.571866273719262
107,1,29.04224304062391
106,1,28.512942518366422
105,1,27.9843969839135
104,1,27.457015833553957
103,1,26.93118613703273
102,1,26.40727319168493
101,1,25.885621076569976
100,1,25.36655320660568
99,1,24.85037288670225
98,1,24.33736386589631
97,1,23.82779089148521
96,1,23.321900263160856
95,1,22.819920387143902
94,1,22.32206233031773
93,1,21.828520374362707
92,1,21.339472569890013
91,1,20.85508129057589
90,1,20.375493787295667
89,1,19.90084274225781
88,1,19.431246823138004
87,1,18.966811237213243
86,1,18.507628285495908
85,1,18.05377791686775
84,1,17.605328282214145
83,1,17.162336288557967
82,1,16.724848153193804
81,1,16.292899957821934
80,1,15.866518202682464
79,1,15.445720360689368
78,1,15.030515431564568
77,1,14.620904495972034
76,1,14.21688126965179
75,1,13.818432657554055
74,1,13.42553930797328
73,1,13.038176166682224
72,1,12.656313031066054
71,1,12.279915104256318
70,1,11.9089435492652
69,1,11.543356043119406
68,1,11.183107330994346
67,1,10.828149780348175
66,1,10.47843393505586
65,1,10.13390906954329
64,1,9.794523742921251
63,1,9.46022635311963
62,1,9.130965691021398
